title,description,genre,duration,release_year,movie_rating
Top Gun: Maverick,"After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground",Action,170,2022-01-01,8.6
Jurassic World Dominion,"Four years after the destruction of Isla Nublar, dinosaurs now live--and hunt--alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with ... Read all",Action,2,2022-01-01,6.0
Top Gun,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",Action,15,1986-01-01,6.9
Lightyear,"While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source.",Animation,71,2022-01-01,5.2
Spiderhead,"In the near future, convicts are offered the chance to volunteer as medical subjects to shorten their sentence. One such subject for a new drug capable of generating feelings of love begins questioning the reality of his emotions.",Action,100,2022-01-01,5.4
Everything Everywhere All at Once,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save the world by exploring other universes connecting with the lives she could have led.",Action,2,2022-01-01,8.3
Interceptor,One Army captain must use her years of tactical training and military expertise when a simultaneous coordinated attack threatens the remote missile interceptor station she is in command of.,Action,100,2022-01-01,4.4
Interceptor,"When Special forces agent Matvey Sobolev survives an explosion, he realizes he must master the art of absolute inner power before confronting his powerful rival, Kurylo, a cruel leader of a criminal syndicate.",Action,1,2022-01-01,3.6
Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods-and imprisoned just as quickly-Black Adam (Johnson) is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",Action,100,2022-01-01,
The Northman,"From visionary director Robert Eggers comes The Northman, an action-filled epic that follows a young Viking prince on his quest to avenge his father's murder.",Action,60,2022-01-01,7.2
Thor: Love and Thunder,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",Action,100,2022-01-01,8.2
Fantastic Beasts: The Secrets of Dumbledore,Professor Albus Dumbledore must assign Newt Scammander and his fellow partners as Grindelwald begins to lead an army to eliminate all Muggles.,Action,2,2022-01-01,6.2
The Unbearable Weight of Massive Talent,"In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish).",Action,1,2022-01-01,7.1
